Round,Tick,Victim,VictimPosition,Attacker,AttackerPosition
17,224852,wenton,"""-2172.484130859375,274.0475158691406,-175.96875""",Snax g2a.com,"""-2478.44873046875,339.45880126953125,-239.96875"""
17,225100,Snax g2a.com,"""-2228.562255859375,337.63787841796875,-162.83816528320312""",twist,"""-1919.4114990234375,-913.783203125,0.03125"""
17,227042,neo g2a.com,"""-609.9337768554688,-556.4671020507812,32.03125""",olofmeister,"""-370.0940246582031,-557.302490234375,-31.96875"""
17,227152,TaZ g2a.com,"""-562.6359252929688,-649.1078491210938,38.666038513183594""",pashaBiceps g2a.com,"""177.62136840820312,-409.4669189453125,-63.96875"""
17,227795,olofmeister,"""-448.00018310546875,-703.9998779296875,71.10585021972656""",pashaBiceps g2a.com,"""153.23577880859375,-397.7879333496094,-63.96875"""
17,228337,twist,"""-585.9717407226562,-821.1785278320312,-45.11407470703125""",byali g2a.com,"""744.2133178710938,-659.8922119140625,-103.6744155883789"""
17,228517,Lekr0,"""-417.9626770019531,-988.1679077148438,-59.85346221923828""",byali g2a.com,"""731.5950927734375,-636.2996215820312,-99.65653228759766"""
17,229583,byali g2a.com,"""331.0010681152344,-1012.93212890625,-27.96875""",dennis,"""191.2523956298828,-371.739990234375,-63.96875"""
17,230165,dennis,"""474.1710510253906,-298.6077880859375,-13.100250244140625""",pashaBiceps g2a.com,"""599.9013061523438,-594.1337890625,-97.02517700195312"""
18,234868,wenton,"""-2455.2958984375,-109.04969787597656,-182.36875915527344""",neo g2a.com,"""-2248.367431640625,-73.05432891845703,-239.96875"""
18,235027,twist,"""-2448.696044921875,146.59283447265625,-175.96875""",byali g2a.com,"""-2382.55029296875,442.975341796875,-239.96875"""
18,236131,Lekr0,"""-1932.4453125,-1549.8702392578125,46.90092468261719""",Snax g2a.com,"""-2191.0029296875,-1366.7279052734375,-4.43934440612793"""
18,239806,dennis,"""-1078.7117919921875,-786.33251953125,-32.496978759765625""",byali g2a.com,"""-2774.4482421875,-1038.8441162109375,32.03125"""
18,240107,olofmeister,"""-1879.646240234375,-1059.56689453125,94.03125""",Snax g2a.com,"""-1802.8900146484375,-1326.4688720703125,0.03125"""
