Round,Tick,Player,PlayerPosition,Velocity
1,474,Snax g2a.com,"""-2686.20068359375,-887.6486206054688,24.88616943359375""","""-173.46871948242188,180.02391052246094,0"""
1,475,olofmeister,"""-313.3038330078125,1432.115478515625,0.03125""","""1.5563981533050537,-249.99514770507812,0"""
1,487,twist,"""-318.1037902832031,1516.951416015625,0.03125""","""18.758255004882812,-239.26580810546875,0"""
1,489,byali g2a.com,"""-2058.9716796875,-1035.7022705078125,0.03125""","""173.45469665527344,149.86279296875,0"""
1,493,pashaBiceps g2a.com,"""-2231.383544921875,-1063.103759765625,4.03125""","""237.0512237548828,79.41485595703125,0"""
1,502,Lekr0,"""-276.12158203125,1620.35693359375,-4.143524169921875""","""33.272254943847656,-247.77603149414062,0"""
1,506,neo g2a.com,"""-1950.4495849609375,-1000.0659790039062,0.03125""","""177.7078094482422,165.30039978027344,0"""
1,512,dennis,"""-325.29876708984375,1544.1612548828125,2.684462547302246""","""11.617344856262207,-249.72991943359375,0"""
1,512,wenton,"""-233.74681091308594,1469.0830078125,0.03125""","""14.876920700073242,-249.5569305419922,0"""
1,512,TaZ g2a.com,"""-2103.074462890625,-792.9534301757812,-37.669586181640625""","""23.31586265563965,248.91036987304688,0"""
1,512,Snax g2a.com,"""-2737.494384765625,-834.02197265625,21.589447021484375""","""-173.66595458984375,179.8336181640625,0"""
1,513,olofmeister,"""-313.4781188964844,1357.8970947265625,9.439472198486328""","""-2.2814602851867676,-249.98959350585938,0"""
1,525,twist,"""-313.65252685546875,1445.2762451171875,0.03125""","""11.231996536254883,-246.6246795654297,0"""
1,527,byali g2a.com,"""-1997.3355712890625,-999.4920043945312,0.03125""","""226.60882568359375,105.586181640625,0"""
1,531,pashaBiceps g2a.com,"""-2160.975341796875,-1039.627197265625,2.7280311584472656""","""237.12681579589844,79.1888656616211,0"""
1,540,Lekr0,"""-270.5919494628906,1547.666259765625,0.03125""","""7.157445907592773,-249.8975067138672,0"""
1,544,neo g2a.com,"""-1891.111328125,-960.9951171875,0.03125""","""201.42123413085938,129.3490753173828,0"""
1,550,dennis,"""-321.84918212890625,1470.0213623046875,0.8043556213378906""","""11.620527267456055,-249.7297821044922,0"""
1,550,wenton,"""-229.33963012695312,1394.994140625,0.03125""","""14.800905227661133,-249.5614776611328,0"""
1,550,TaZ g2a.com,"""-2106.60107421875,-718.9589233398438,-60.2164192199707""","""-31.977920532226562,247.94639587402344,0"""
1,550,Snax g2a.com,"""-2779.28076171875,-775.4169921875,15.064342498779297""","""-136.806640625,203.73565673828125,0"""
1,551,olofmeister,"""-309.2585754394531,1285.011962890625,58.02953338623047""","""0.20120573043823242,-248.54795837402344,0"""
1,563,twist,"""-311.12738037109375,1371.145751953125,0.03125""","""6.62160062789917,-249.9123077392578,0"""
1,565,byali g2a.com,"""-1929.5908203125,-970.5584716796875,0.03125""","""227.0265350341797,92.10836029052734,0"""
1,569,pashaBiceps g2a.com,"""-2090.5947265625,-1016.0687866210938,0.03125""","""237.04025268554688,79.44755554199219,0"""
1,578,Lekr0,"""-270.152099609375,1473.451904296875,0.03125""","""-1.6868360042572021,-249.9943084716797,0"""
1,582,neo g2a.com,"""-1826.9600830078125,-928.6757202148438,0.03125""","""206.95263671875,131.13201904296875,0"""
1,588,dennis,"""-313.8200988769531,1397.5443115234375,0.03125""","""68.58052062988281,-229.77703857421875,0"""
1,588,wenton,"""-225.0226287841797,1321.6248779296875,0.03125""","""14.498359680175781,-247.5448455810547,0"""
